High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
220437 Total,12,0,0,0,0,12,0,2,4,0,6,0,0,0
220443 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220445 Total,47,0,3,0,6,37,1,11,8,1,27,0,4,1
220454 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220458 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
220459 Total,3,0,0,0,3,0,0,0,2,0,0,0,0,0
220470 Total,23,0,0,0,1,22,0,4,2,0,18,0,0,0
220473 Total,26,0,0,0,0,26,0,0,1,0,24,0,1,0
220475 Total,8,0,0,1,2,5,0,2,1,0,5,0,0,0
220489 Total,5,0,0,1,1,3,0,1,4,0,0,0,0,0
220493 Total,47,0,1,3,7,36,0,10,14,0,20,0,4,1
220495 Total,3,0,0,0,0,2,0,2,0,0,1,0,0,0
220499 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
220515 Total,18,0,0,0,2,13,0,2,0,0,11,0,4,2
220523 Total,7,0,0,2,2,3,2,1,2,0,1,0,0,0
220544 Total,14,0,0,1,2,11,0,2,2,0,8,0,1,0
220545 Total,15,0,0,1,1,13,0,1,3,0,12,0,0,0
220551 Total,7,0,0,0,0,7,0,0,0,0,7,0,0,0
220552 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
220560 Total,9,0,0,0,0,9,0,8,1,0,0,0,0,0
220562 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220563 Total,18,0,0,4,1,13,1,0,4,0,12,0,0,0
220575 Total,41,0,0,1,3,36,0,4,4,0,33,0,1,2
220578 Total,30,0,0,2,24,5,1,3,1,0,8,0,5,0
220595 Total,7,0,0,0,0,6,0,1,2,0,3,0,1,1
220600 Total,3,0,0,0,1,2,0,0,0,0,2,0,0,0
220601 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
220605 Total,5,0,0,0,0,5,0,1,0,0,4,0,0,0
220610 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
220611 Total,92,0,1,13,5,74,0,6,6,3,73,0,3,0
220612 Total,56,0,1,9,2,43,1,2,5,0,45,0,0,1
